课型,主讲,课程标题,时长（分钟）,本讲课程重点内容,主讲PPT,会销PPT,运营节奏,视频ID,旧版视频ID
0元1升2,黄豆豆,笨狼成长奇遇——“故事称号法”介绍人物,47分钟正课,"1.课程收获：阅读笨狼弄丢自己家、照顾小鸭子的故事，并“懂得乐于助人心肠好，防人之心不可少”的道理。

2.阅读量：4550字

3.字词积累：【部首识字】“口”字旁——吃、呼、吹、听

4.精读收获：立体的人物——笨狼是一只热心肠的小狼，同时也是一个小迷糊。

5.阅写方法及迁移运用：“故事称号法”介绍人物；运用“故事称号法”介绍笨狼。",L201故事称号法介绍人物.pdf,,行课,264211,
,,笨狼学习之旅——“三画法”写景色类看图写话,46分钟正课,"1.课程收获：了解笨狼学画画、学游泳的故事，明白“人不可貌相，海水不可斗量”的道理。

2.阅读量：4210字

3.字词积累：【部首识字】提手旁——打、拉、拍、捉

4.精读收获：深刻的主旨——人不可貌相，海水不可斗量。

5.阅写方法及迁移运用：运用“三画法”写景色类看图写话。",L202“三画法”写景色类看图写话.pdf,,行课,264205,
,,笨狼生活风波——“找盖饭法”写犯错类看图写话,46分钟正课,"1.课程收获：阅读笨狼使用门铃和电话，偷走聪明兔书本的故事，明白道理：错误是成长路上特别的脚印，我们都是在犯错中，慢慢长出翅膀的。

2.阅读量：4210字

3.字词积累：【部首识字】言字旁——课、话、语、讲

4.精读收获：高级的手法——“找盖饭法”写犯错类看图写话

5.迁移运用：运用“找盖饭法”写犯错类看图写话",L203“找盖饭法”写犯错类看图写话.pdf,【进校】二升三年级0元大阅读-豆豆老师家长会1.pptx,转化,267167,
,,《没头脑和不高兴》——“人事理法”讲故事,45分钟正课,"1.课程收获：了解没头脑设计三百层大楼却不安装电梯、不高兴成为演员却不配合表演的故事，并从中学会“积千累万，不如养个好习惯”的道理。

2.阅读量：5610字

3.字词积累：【字族识字】“包”字族——饱、泡、抱、炮

4.精读收获：立体的人物——长大后意识到错误的没头脑和不高兴，没头脑意识到小时候的自己爱丢三落四，不高兴意识到小时候的自己爱和别人对着干，这些都是不对的。

5.阅写方法及迁移运用：运用“人事理法”讲故事。",L204人事理法讲故事.pdf,【进校】二升三年级0元大阅读-豆豆老师家长会2.pptx,转化,267208,
,,《没头脑和不高兴》——“小手小脚法”写活动类看图写话,45分钟正课,"1.课堂收获：阅读小喇叭闹闹的故事，明白“要尊重他人，讲文明懂礼貌”的道理。

2.阅读量：5700字

3.字词积累：【字族识字】青字族——晴、清、睛、请

4.精读收获：高级的手法——“小手小脚法”写活动类看图写话

5.迁移运用：运用“小手小脚法”描写动作。",L205活动类看图写话.pdf,【进校】二升三年级0元大阅读-豆豆老师家长会3（毕业典礼）.pptx,转化,267260,
0元2升3,徐剑,认识迷你特工鼠小弟——“有点事法”介绍人物,46分钟正课,"1.课堂收获：了解了斯图尔特虽然长相独特，但他依旧热爱生活，努力帮助他人的情节。明白每个人都是独特的，都能在家人的呵护下成长为最好的自己。

2.阅读量：4450字

3.精读收获：立体的人物——斯图尔特是一个聪明勇敢、乐于助人的人。

4.阅写方法及迁移运用：运用“有点事法”来介绍鼠小弟斯图尔特，并用“有点事法”来介绍自己的朋友、家人。",01《精灵鼠小弟·鼠小弟斯图尔特》——“有点事法”介绍人物.pdf,,行课,264435,
,,鼠猫惊魂吊环对决——“大拆小法”写活动类看图写话,46分钟正课,"1.课堂收获：了解了斯图尔特被困卷帘，家人努力寻找他的情节。并从中感受到亲情的力量。

2.阅读量：4810字

3.精读收获：深刻的主旨——无论何时何地，家人永远是我们最坚实的后盾。

4.阅写方法及迁移运用：运用“大拆小法”来描写鼠小弟斯图尔特与野茉莉的拔河比赛，同时运用“大拆小法”来完成活动类作文。",02《精灵鼠小弟·鼠小弟斯图尔特》——“大拆小法”写活动类看图写话.pdf,,行课,264445,
,,双向奔赴的友情——“童话法”写想象类看图写话,45分钟正课,"1.课堂收获：了解了斯图尔特与小鸟玛加洛之间互相帮助的故事。了解到真正的友情是双向的付出与守护。

2.阅读量：4800字

3.精读收获：高级的手法——“童话法”想象类看图写话

4.阅写方法及迁移运用：运用“童话法”来写想象类写话。",03《精灵鼠小弟·鼠小弟斯图尔特》03——“童话法”写想象类看图写话-副本.pdf,【进校】二升三年级0元大阅读-徐剑老师家长会1.pptx,转化,267977,
,,《洋葱头历险记》——“问决心法”写解决问题类看图写话,45分钟正课,"1.课堂收获：了解洋葱头帮助南瓜老大爷守护小房子的故事，思考强与弱的含义，让小朋友懂得不能恃强凌弱的道理。

2.阅读量：5300字

3.精读收获：立体的人物——洋葱头是一个勇敢正义、聪明善良的人。

4.阅写方法及迁移运用：学会用“问决心法”写解决问题类看图写话。",04《洋葱头历险记》——“问决心法”写解决问题类看图写话.pdf,【进校】二升三年级0元大阅读-徐剑老师家长会2.pptx,转化,267985,
,,《洋葱头历险记》——“举例法”表达观点,45分钟正课,"1.课堂收获：了解洋葱头等好人齐心协力建立全新的蔬菜水果王国的故事。明白团结就是力量，坏人终将会被打败。

2.阅读量：5910字

3.精读收获：高级的手法——“举例法”表达观点

4.阅写方法及迁移运用：学会运用“举例法”完成发表观点类的表达。",05《洋葱头历险记》“举例法”表达观点.pdf,【进校】二升三年级0元大阅读-徐剑老师家长会3（毕业典礼）.pptx,转化,268822,
